Company,Revenue USD Mil,Earnings Per Share USD,Dividends USD,Shares Mil,Operating Cash Flow USD Mil,Working Capital USD Mil,Return on Equity perc,Return on Assets perc,Interest Coverage,Cap Ex as a perc of Sales,Total Stockholders' Equity,Days Sales Outstanding,Payables Period,Inventory Turnover,Fixed Assets Turnover,Current Ratio,Debt/Equity,R&D,Price
CJJD,96.0,-0.68,,25.0,-2.0,8.0,-74.94,-24.2,,3.02,25.55,32.06,107.36,6.51,20.19,1.14,,,1.61
CKPT,4.0,-1.27,,29.0,-26.0,12.0,-270.92,-157.05,,,47.42,96.98,,,,1.9,,959.9,2.79
CLAR,212.0,0.24,0.05,30.0,11.0,87.0,4.44,3.47,5.83,1.59,77.98,61.73,54.08,2.25,8.89,4.99,0.13,,12.75
CLBK,186.0,0.2,,111.0,57.0,,3.15,0.37,,7.15,14.53,,,,3.92,,1.06,,15.67
CLBS,,-1.67,,10.0,-20.0,38.0,-36.65,-29.95,,,84.11,,,,,7.85,,,2.82
CLCT,68.0,0.71,1.05,9.0,12.0,6.0,41.32,20.51,,7.07,44.29,16.59,31.87,11.11,11.86,1.48,0.17,,14.8
CLDB,29.0,2.03,0.44,4.0,13.0,,13.96,1.24,,6.66,9.08,,,,3.02,,0.33,,22.049999
CLDX,10.0,-14.48,,10.0,-75.0,86.0,-83.89,-64.14,,8.52,79.62,96.47,,,1.16,7.86,,696.68,2.68
CLFD,78.0,0.32,,13.0,5.0,36.0,6.41,5.95,,1.53,92.79,47.14,16.05,5.04,15.26,8.25,,,13.25
CLGN,5.0,-1.43,,4.0,-1.0,5.0,-100.02,-43.08,-242.63,16.54,52.6,37.63,703.55,0.75,3.94,3.19,,107.8,4.87
CLIR,1.0,-0.42,,23.0,-8.0,15.0,-98.24,-83.34,,94.72,90.73,13.43,,,1.11,10.03,0.01,764.53,1.03
CLLS,13.0,-1.93,,41.0,-68.0,441.0,-23.28,-18.88,,38.38,89.0,82.05,1688.61,10.43,1.47,10.4,,601.42,15.88
CLMT,3498.0,-0.69,,78.0,75.0,255.0,-58.19,-2.26,0.68,1.42,,23.12,28.79,10.23,3.1,1.61,24.36,,3.56
CLNE,346.0,-0.02,,181.0,38.0,145.0,-0.81,-0.51,0.44,7.29,74.48,69.98,25.45,7.54,0.97,2.81,0.16,,2.29
CLPS,49.0,0.21,,12.0,-5.0,16.0,21.82,10.95,,0.47,57.75,90.94,9.88,,161.18,2.27,,16.02,9.04
CLPT,7.0,-0.56,,11.0,-5.0,5.0,-167.95,-56.66,,0.86,19.23,54.19,94.54,1.1,22.79,3.31,2.3,31.42,4.3
CLRB,,-5.23,,3.0,-11.0,12.0,-151.08,-110.87,,,88.09,,,,,8.6,,,2.12
CLRO,28.0,-1.87,0.07,9.0,-7.0,28.0,-30.68,-26.32,,18.24,88.6,94.48,96.91,1.01,19.17,5.72,,27.84,1.87
CLSD,,-2.69,,31.0,-79.0,32.0,-367.79,-195.76,,293.33,53.54,,,,0.04,4.1,0.4,,1.18
CLSK,1.0,-13.62,,3.0,-1.0,-1.0,-258.31,-245.15,-49.85,72.45,91.46,24.0,128.41,,5.45,0.41,0.01,1.24,19.0
CLSN,1.0,-0.68,,18.0,-7.0,22.0,-49.97,-25.18,-30.32,27.68,44.52,,,,2.77,4.61,0.45,,1.82
CLUB,443.0,,,26.0,64.0,-33.0,,0.03,0.96,2.68,-27.95,2.17,2.95,,2.87,0.65,,,2.28
CLVS,95.0,-7.07,,52.0,-366.0,447.0,-143.16,-46.04,-26.87,67.35,16.96,36.49,361.0,0.81,6.25,4.55,3.92,242.53,14.87
CLWT,17.0,0.15,,3.0,1.0,3.0,3.01,2.02,-50.27,0.1,70.66,86.26,96.67,30.8,23.06,1.45,,,3.45
CLXT,,-0.91,,31.0,-20.0,89.0,-36.98,-29.22,-21.19,782.63,78.62,35.57,,,0.01,13.64,0.2,,10.36
CMBM,242.0,-0.08,,20.0,-10.0,39.0,,-1.15,0.71,3.1,-14.48,84.97,60.97,4.8,36.67,1.59,,16.1,8.99
CMCO,839.0,0.95,0.16,23.0,70.0,153.0,5.89,1.96,3.52,1.73,35.73,52.04,28.93,3.91,7.42,1.74,0.74,1.62,36.73
CMCSA,94507.0,2.53,0.76,4640.0,24297.0,-5755.0,16.73,5.35,5.3,12.39,28.55,37.95,94.78,,2.28,0.79,1.5,,43.169998
CMCT,198.0,-0.98,1.5,15.0,60.0,192.0,-3.81,-1.07,1.07,,48.61,18.71,154.78,,,3.37,1.66,,54.689999
CMCTP,198.0,,,,60.0,192.0,-3.81,-1.07,1.07,,48.61,18.71,154.78,,,3.37,1.66,,26.799999
CME,4309.0,5.71,2.8,344.0,2441.0,614.0,8.12,2.56,18.61,2.71,33.47,38.66,28.13,,10.16,1.01,0.15,,194.110001
CMLS,1136.0,-7.05,,29.0,87.0,357.0,,-9.3,-2.2,2.81,-34.34,76.5,8.7,,6.42,10.89,,,16.0
CMPR,2593.0,1.36,,32.0,192.0,-242.0,51.86,2.63,2.25,3.94,5.67,7.34,39.9,23.88,5.21,0.5,9.47,9.48,103.41999799999999
CMRX,7.0,-1.43,,49.0,-54.0,176.0,-34.79,-32.62,,2.51,93.13,50.89,,,4.65,14.61,,765.51,2.33
CMTL,571.0,1.24,0.4,24.0,50.0,114.0,6.04,3.55,3.42,1.51,59.83,63.83,38.61,5.11,18.46,1.69,0.29,9.44,26.5
CNAT,34.0,-0.59,,30.0,-35.0,29.0,-65.02,-27.55,-24.88,0.2,56.14,38.27,,,201.93,2.56,,123.17,0.4
CNBKA,107.0,6.5,0.48,8.0,41.0,,12.92,0.73,,3.36,5.82,,,,4.51,,0.12,,87.010002
CNCE,11.0,-2.4,,23.0,-48.0,171.0,-30.77,-27.72,,27.31,87.12,2.95,,,1.9,20.59,,410.75,10.19
CNDT,5393.0,-2.06,,206.0,283.0,767.0,-12.62,-5.99,-2.53,4.15,50.36,57.56,16.06,,18.44,1.64,0.47,0.2,9.1
CNET,47.0,-0.84,,12.0,-1.0,4.0,-53.96,-34.56,-65.39,0.01,53.86,41.24,12.83,,121.12,1.3,0.01,2.7,2.01
CNFR,99.0,-1.08,,9.0,-17.0,,-19.43,-3.91,-2.58,0.09,18.11,,,,,,0.79,,3.93
CNNB,7.0,1.34,,2.0,1.0,,10.71,1.24,,0.82,11.71,,,,2.43,,1.24,,8.563
CNOB,163.0,1.86,0.3,32.0,89.0,,10.21,1.14,,1.26,11.24,,,,8.0,,1.19,,21.83
CNSL,1399.0,-0.73,1.55,71.0,357.0,-85.0,-10.56,-1.42,,17.5,11.61,33.22,16.9,,0.71,0.7,5.62,,4.76
CNSP,,-0.47,,16.0,-1.0,-1.0,,,-157.29,,-80.39,,,,,0.48,,,4.04
CNST,,-5.0,,12.0,-49.0,103.0,,-86.82,-261.83,,87.57,,,,,8.0,,,10.1
CNTG,,,,20.0,,,-32.72,-9.87,-4.35,56.91,29.96,52.75,129.22,19.18,0.94,0.56,0.23,20.18,
CNTY,169.0,0.11,,30.0,22.0,5.0,1.91,1.23,2.4,33.61,64.88,13.3,16.38,109.77,0.99,1.09,0.24,,8.1
CNXN,2699.0,2.41,,27.0,87.0,409.0,12.81,8.32,,0.79,65.3,54.09,31.57,20.26,57.87,2.58,,,36.669998
COCP,,-1.75,,28.0,-8.0,1.0,-56.94,-51.63,,,97.56,,,,,1.89,,,2.3
CODA,18.0,0.49,,10.0,2.0,15.0,26.11,18.9,13.46,3.54,84.86,48.05,67.12,1.43,3.45,5.59,0.04,14.27,8.21
CODX,,-0.5,,12.0,-4.0,-1.0,-449.31,-201.81,-45.48,103.57,-68.17,122.73,3688.21,0.69,0.25,0.45,,,1.03
COFS,29.0,2.03,0.71,4.0,10.0,,9.34,1.11,,14.51,12.0,,,,2.02,,0.07,,29.25
COHR,1903.0,9.95,,25.0,236.0,866.0,19.97,10.76,14.99,4.77,58.16,63.39,24.88,2.38,6.44,3.32,0.32,6.97,138.16000400000001
COHU,452.0,-1.01,0.24,32.0,34.0,325.0,-7.7,-4.14,-5.41,1.1,48.16,89.03,53.46,2.9,8.33,3.02,0.63,12.49,15.43
COKE,4625.0,-2.13,1.0,12.0,169.0,196.0,-5.5,-0.66,,2.99,12.3,32.2,20.75,13.61,4.46,1.33,3.16,,287.829987
COLB,566.0,2.36,1.0,72.0,237.0,,8.68,1.34,,2.0,15.53,,,,3.35,,0.21,,36.900002
COLL,280.0,-1.19,,33.0,169.0,48.0,-39.99,-18.34,-0.94,8.69,31.45,57.22,19.64,34.41,50.52,1.26,0.11,3.09,13.93
COLM,2802.0,3.81,0.9,70.0,290.0,1192.0,16.28,11.71,,2.34,71.16,53.03,67.88,2.89,9.78,3.08,,,96.889999
COMM,4569.0,0.72,,195.0,494.0,1187.0,8.24,2.05,1.71,1.8,26.5,68.28,52.97,6.27,9.95,2.71,2.27,4.06,15.73
CONE,821.0,0.01,1.84,100.0,309.0,1.0,0.06,0.02,1.01,,39.8,43.7,234.99,,,1.0,1.25,,57.720001
CONN,1192.0,0.2,,32.0,51.0,916.0,1.23,0.34,1.39,1.42,28.15,204.95,43.89,3.82,7.89,6.58,2.04,,32.700001
COOP,36.0,0.3,,99.0,-6.0,,1.68,0.36,15.48,,97.26,,,,,,,,13.44
CORE,16395.0,0.99,0.41,46.0,211.0,607.0,8.11,2.64,,0.13,34.03,9.41,4.35,22.54,68.6,1.89,0.61,,32.119999
CORT,251.0,0.6,,127.0,116.0,201.0,32.31,28.34,,0.12,88.51,23.89,589.49,1.12,428.38,6.66,,29.95,12.38
CORV,24.0,-0.9,,33.0,-24.0,30.0,-118.74,-44.54,-4.17,21.8,24.23,95.3,213.61,1.23,49.81,4.8,2.47,,2.49
COST,141576.0,7.09,2.14,442.0,5774.0,363.0,26.59,8.12,28.94,2.1,31.58,4.0,30.89,11.8,7.48,1.02,0.51,,234.88000499999998
COUP,260.0,-0.96,,58.0,37.0,33.0,-20.05,-8.46,-3.48,2.89,42.33,109.79,14.93,,33.09,1.08,,23.66,129.570007
COWN,967.0,1.17,,31.0,325.0,952.0,4.67,1.08,,0.89,23.74,303.08,154.33,,28.89,1.79,1.02,,15.48
CPAH,12.0,-0.59,,5.0,-2.0,1.0,-41.77,-26.22,,1.01,61.8,83.17,121.27,,100.0,1.19,,44.48,2.0
CPHC,59.0,1.26,0.28,5.0,6.0,2.0,13.08,9.86,,9.3,76.08,4.69,31.3,134.08,1.58,1.21,,,12.8
CPIX,41.0,-0.45,,16.0,3.0,31.0,-11.61,-6.76,-34.85,10.49,49.43,72.74,496.52,0.78,62.68,2.13,0.36,17.97,5.6
CPLP,279.0,-0.6,2.24,18.0,98.0,-51.0,-1.2,-0.77,1.0,15.85,,13.66,21.22,31.18,0.22,0.56,0.44,,11.48
CPRT,1806.0,1.73,,242.0,535.0,432.0,31.19,19.48,28.62,15.94,68.51,23.8,35.84,77.58,1.71,2.56,0.25,,58.669998
CPRX,1.0,-0.33,,103.0,-26.0,46.0,-51.62,-46.63,,18.4,84.01,,,,2.29,5.8,,,4.64
CPSH,22.0,-0.28,,13.0,,4.0,-48.9,-37.98,,1.63,68.73,50.71,25.68,7.04,15.62,2.65,,,1.1
CPSI,280.0,1.26,0.4,14.0,24.0,31.0,11.52,5.27,3.39,0.35,48.75,51.11,18.56,89.66,24.85,1.82,0.78,12.97,26.24
CPSS,287.0,0.59,,25.0,216.0,,7.8,0.61,,0.37,7.93,,,,160.17,,10.56,,3.52
CPST,83.0,-2.0,,5.0,-9.0,22.0,-45.84,-17.19,-15.51,2.11,44.13,72.64,75.9,4.5,33.3,1.68,0.01,4.88,10.0
CPTA,-13.0,-1.0,1.0,16.0,27.0,,-7.77,-3.12,,,38.66,,,,,,1.56,,8.49
CRAI,418.0,2.61,0.71,9.0,36.0,39.0,11.1,6.11,,3.7,52.98,76.18,25.5,,9.01,1.27,,,43.419998
CRBP,5.0,-0.98,,57.0,-30.0,26.0,-130.52,-97.7,,47.7,58.58,,,,2.33,2.45,,,6.0
CREE,1494.0,-2.81,,100.0,167.0,642.0,-13.05,-10.59,,13.11,78.52,51.39,47.81,3.74,2.4,3.58,0.14,11.0,48.110001000000004
