Company,Revenue USD Mil,Earnings Per Share USD,Dividends USD,Shares Mil,Operating Cash Flow USD Mil,Working Capital USD Mil,Return on Equity perc,Return on Assets perc,Interest Coverage,Cap Ex as a perc of Sales,Total Stockholders' Equity,Days Sales Outstanding,Payables Period,Inventory Turnover,Fixed Assets Turnover,Current Ratio,Debt/Equity,R&D,Price
CSBR,20.0,-0.13,,11.0,-1.0,-2.0,-732.51,-18.35,,6.07,0.04,41.9,69.28,,12.27,0.68,,21.74,9.08
CSCO,49330.0,0.02,1.24,4881.0,13666.0,34802.0,0.2,0.09,14.83,1.69,39.72,39.59,32.06,10.82,15.59,2.29,0.47,12.84,48.650002
CSFL,516.0,1.76,0.4,89.0,193.0,,10.87,1.61,,4.66,15.98,,,,2.79,,0.02,,24.32
CSGP,1192.0,6.54,,36.0,335.0,1059.0,8.4,7.71,101.36,2.49,91.22,22.98,10.54,,14.21,7.87,,8.47,549.52002
CSGS,875.0,2.01,0.84,33.0,143.0,249.0,18.79,6.55,5.28,6.53,32.4,94.97,34.0,,13.84,1.71,0.98,14.17,48.830002
CSII,217.0,0.05,,34.0,10.0,130.0,1.34,0.85,2.07,1.41,66.13,50.2,97.88,2.36,7.56,4.47,0.16,12.33,35.540001000000004
CSIQ,3390.0,1.69,,62.0,204.0,-23.0,10.39,1.76,2.14,9.16,17.61,40.82,55.89,8.58,4.48,0.99,0.51,0.85,15.41
CSOD,538.0,-0.58,,58.0,90.0,173.0,-86.74,-3.81,-0.1,7.51,6.93,94.91,37.37,,10.97,1.43,5.99,14.31,56.5
CSPI,73.0,3.55,0.48,4.0,3.0,34.0,50.52,24.24,-12.01,0.6,61.15,99.14,51.58,8.06,61.92,3.44,,4.49,13.12
CSSE,27.0,-0.16,,12.0,-8.0,14.0,-3.39,-2.8,1.07,,77.87,142.0,89.9,39.13,,2.85,0.11,,8.05
CSSEP,27.0,,,,-8.0,14.0,-3.39,-2.8,1.07,,77.87,142.0,89.9,39.13,,2.85,0.11,,25.200001
CSTE,576.0,0.72,0.3,34.0,15.0,239.0,5.22,3.88,7.98,3.64,75.84,46.21,53.01,2.83,2.68,3.15,0.01,0.63,15.13
CSTL,23.0,-0.95,,11.0,-12.0,11.0,,-37.82,-1.8,1.22,-44.94,134.09,88.46,8.93,15.2,2.69,,21.3,23.29
CSTR,67.0,0.67,0.08,14.0,33.0,,4.83,0.58,,6.32,12.95,,,,5.44,,0.49,,15.95
CSWC,53.0,2.44,0.97,16.0,-64.0,,13.25,10.58,,,73.84,,,,,,0.31,,19.0
CSWI,326.0,-0.76,,16.0,43.0,83.0,-4.42,-3.22,,1.7,77.98,70.37,31.98,3.82,5.51,2.84,0.09,,52.849998
CSX,12250.0,3.84,0.88,861.0,4641.0,650.0,24.26,9.13,7.74,14.24,34.22,26.79,43.84,23.55,0.38,1.34,1.17,,71.540001
CTAS,6477.0,7.56,1.62,110.0,964.0,1202.0,31.68,12.21,8.63,4.2,43.35,43.41,20.06,12.77,4.79,2.55,0.84,,197.809998
CTBI,194.0,3.35,1.38,18.0,65.0,,10.82,1.42,,1.46,13.43,,,,4.24,,0.1,,42.290001000000004
CTHR,27.0,-0.02,,21.0,-3.0,15.0,-1.3,-1.11,-786.19,1.01,84.55,41.67,99.6,1.47,20.53,3.7,,0.01,1.14
CTIB,56.0,-0.45,,4.0,1.0,10.0,-13.31,-3.82,0.32,1.34,27.78,84.62,48.44,2.28,11.4,1.43,0.59,,4.07
CTIC,26.0,-0.52,,56.0,-40.0,59.0,-74.04,-40.63,-15.93,0.13,61.4,94.98,1471.21,,12.65,3.58,0.16,138.71,0.86
CTMX,60.0,-2.03,,42.0,-76.0,348.0,-84.28,-19.8,,6.37,28.63,31.4,,,10.67,4.55,,174.56,9.66
CTRN,755.0,1.03,0.3,14.0,42.0,124.0,6.73,4.42,157.67,2.78,64.04,,59.28,3.42,12.48,2.14,,,27.440001000000002
CTSH,16125.0,3.6,0.8,584.0,2592.0,5900.0,19.02,13.5,104.59,2.34,71.79,69.29,7.88,,11.87,3.12,0.06,,63.48
CTSO,23.0,-0.56,,31.0,-11.0,22.0,-126.56,-60.55,,6.76,51.71,49.87,86.07,9.2,14.37,4.32,0.55,34.32,6.61
CTXR,,-1.17,,11.0,-11.0,7.0,-50.33,-45.2,-790.55,,89.74,,,,,3.16,,,1.17
CTXS,2974.0,3.94,0.35,146.0,1035.0,-824.0,74.18,10.51,8.85,2.44,10.9,85.97,59.93,24.22,11.98,0.72,1.33,14.79,100.959999
CUE,1.0,-1.94,,20.0,-26.0,34.0,-81.57,-69.41,,162.28,74.89,,,,0.51,6.53,,,8.31
CUI,97.0,-0.61,,29.0,-12.0,17.0,-34.99,-21.92,-33.92,1.58,59.2,47.61,31.16,5.04,11.24,1.91,0.13,2.89,1.05
CUTR,163.0,-2.23,,14.0,,40.0,-55.3,-29.46,,0.91,47.51,45.33,40.52,2.9,68.25,1.83,,8.82,20.780001000000002
CVBF,393.0,1.24,0.56,122.0,168.0,,10.38,1.53,,1.07,16.06,,,,7.52,,0.01,,21.049999
CVCO,871.0,6.68,,9.0,59.0,242.0,14.45,9.59,18.86,0.96,67.74,13.88,12.63,6.8,14.48,2.37,0.07,,173.75
CVCY,71.0,1.54,0.31,14.0,30.0,,9.92,1.33,,1.11,14.29,,,,7.98,,0.02,,20.35
CVET,3778.0,0.91,,111.0,158.0,514.0,7.45,4.58,,0.58,66.89,41.48,48.21,5.63,56.77,1.9,0.02,,23.67
CVGI,898.0,1.36,,31.0,41.0,182.0,46.91,11.09,4.64,1.58,27.51,49.44,41.12,8.04,13.84,2.37,1.34,,7.29
CVGW,1089.0,1.84,0.95,18.0,48.0,30.0,12.75,8.82,69.09,1.38,71.92,22.78,12.57,29.59,8.99,1.3,,,88.440002
CVLT,699.0,-1.37,,45.0,84.0,323.0,-14.62,-7.63,-2.01,1.01,49.36,76.95,1.63,,5.36,2.0,,13.46,65.849998
CVLY,76.0,1.96,0.56,10.0,21.0,,11.4,1.11,,3.63,9.89,,,,3.09,,0.65,,21.51
CVTI,885.0,2.3,,18.0,124.0,84.0,13.32,5.97,,8.49,44.36,52.61,8.36,178.58,1.94,1.66,0.58,,16.440001000000002
CVV,24.0,-0.8,,6.0,1.0,15.0,-13.5,-9.33,-11.0,10.43,69.3,45.93,17.99,7.94,0.82,4.78,0.33,2.49,3.62
CWBC,36.0,0.88,0.19,8.0,16.0,,10.13,0.87,,4.33,8.68,,,,6.03,,0.98,,10.01
CWBR,,-0.38,,41.0,-10.0,20.0,-122.79,-98.46,-27.19,,77.96,,,,,10.38,0.16,,1.75
CWCO,66.0,0.75,0.34,15.0,9.0,54.0,7.45,6.68,,28.69,94.65,100.28,47.91,19.6,1.12,7.89,,,14.03
CWST,661.0,0.15,,44.0,121.0,-14.0,,0.95,1.23,12.21,-2.16,38.92,42.02,69.33,1.72,0.87,,0.05,39.630001
CXDC,1290.0,0.48,,50.0,83.0,61.0,3.53,1.02,3.69,36.01,28.02,100.26,94.91,3.0,1.52,1.04,0.16,2.85,3.65
CY,2484.0,0.95,0.44,372.0,471.0,396.0,18.04,9.81,2.48,2.77,57.31,45.57,49.82,5.5,8.68,1.64,0.41,14.65,22.24
CYAD,,,,11.0,,,-72.59,-43.54,-602.66,56.66,58.95,19.98,,,0.99,5.36,0.02,756.89,12.25
CYAN,34.0,0.18,,6.0,1.0,8.0,5.91,3.48,,2.95,60.95,25.67,63.28,2.44,2.1,2.39,0.32,1.65,3.65
CYBE,65.0,0.39,,7.0,4.0,36.0,5.21,4.38,,3.21,80.65,75.1,64.73,2.36,25.05,3.86,,13.63,17.629998999999998
CYBR,343.0,1.27,,37.0,130.0,338.0,11.47,8.0,,2.51,69.29,49.85,25.92,,28.19,3.35,,16.64,116.58000200000001
CYCC,,-0.62,,12.0,-7.0,15.0,-40.44,-32.68,,26.0,77.04,,,,4.62,4.45,,,0.61
CYCCP,,,,,-7.0,15.0,-40.44,-32.68,,26.0,77.04,,,,4.62,4.45,,,4.89
CYCN,,-4.22,,27.0,-98.0,-17.0,,,,,-141.13,,,,,0.05,,,10.48
CYOU,580.0,2.04,,53.0,199.0,1040.0,8.96,6.0,29.04,0.62,68.38,43.65,54.06,,3.06,2.87,,22.58,18.73
CYRN,35.0,-0.36,,54.0,-11.0,8.0,-49.17,-31.25,,14.77,53.08,33.29,33.7,,9.71,1.5,0.31,44.89,1.73
CYRX,20.0,-0.34,,28.0,-3.0,49.0,-33.87,-24.86,-136.69,15.08,68.08,48.07,57.73,55.99,5.71,16.91,0.38,9.38,15.75
CYTK,32.0,-1.95,,54.0,-101.0,185.0,-156.57,-42.01,-3.92,2.82,12.28,19.37,,,9.3,9.36,1.53,282.96,9.88
CZNC,66.0,1.79,1.08,12.0,26.0,,11.35,1.71,,1.76,15.29,,,,4.42,,0.18,,26.280001000000002
CZR,8391.0,-0.25,,841.0,786.0,265.0,9.36,1.18,1.13,6.97,12.65,17.9,31.3,104.53,0.52,1.13,5.8,,11.51
CZWI,38.0,0.58,0.2,7.0,11.0,,4.09,0.45,,7.84,13.93,,,,3.83,,0.65,,11.75
DAIO,29.0,0.19,,9.0,2.0,21.0,7.07,5.26,,3.1,76.02,47.09,46.99,2.54,13.16,4.07,,25.19,4.4
DAKT,611.0,0.12,0.28,45.0,30.0,133.0,2.81,1.56,58.28,2.97,55.08,46.7,39.39,6.56,9.06,2.01,,5.82,8.01
DARE,,-1.57,,11.0,-10.0,6.0,-167.23,-151.57,,,85.94,,,,,6.64,,,0.818
DBVT,,,,58.0,,,-132.22,-95.02,-472.1,,70.62,,,,,3.34,0.01,,8.22
DBX,1392.0,-1.35,,359.0,425.0,372.0,-589.9,-35.73,,4.74,39.95,7.51,30.15,,4.27,1.45,0.13,55.2,21.799999
DCAR,6.0,-89.34,,,-11.0,2.0,,-589.15,,7.62,53.97,14.51,96.53,,265.39,1.9,,5.3,1.1
DCOM,156.0,1.38,0.56,37.0,64.0,,8.52,0.8,,2.75,9.53,,,,6.36,,2.05,,19.83
DCOMP,156.0,,,,64.0,,8.52,0.8,,2.75,9.53,,,,6.36,,2.05,,
DCPH,,-2.82,,35.0,-87.0,278.0,-43.04,-38.8,,,88.73,,,,,13.24,0.04,,26.870001000000002
DDOG,198.0,-0.04,,259.0,11.0,10.0,,-7.02,,8.0,-42.3,79.95,70.42,,12.09,1.09,,27.86,35.8449995
DENN,630.0,0.67,,66.0,74.0,-47.0,,13.26,3.75,3.5,-39.76,6.41,24.44,151.16,4.5,0.5,,,19.68
DFFN,,-8.21,,3.0,-11.0,8.0,-144.53,-120.07,-123.02,,85.77,,,,,11.09,,,2.2
DGICA,769.0,-1.09,0.57,28.0,64.0,,-7.73,-1.84,-19.95,0.01,21.77,,,,128.5,,0.01,,14.45
DGICB,769.0,-1.09,0.5,28.0,64.0,,-7.73,-1.84,-19.95,0.01,21.77,,,,128.5,,0.01,,12.41
DGII,228.0,0.06,,28.0,-3.0,128.0,0.4,0.36,112.6,0.81,88.99,63.67,29.25,3.32,23.95,4.66,,14.53,12.68
DGLY,15.0,-1.76,,7.0,-6.0,2.0,-284.28,-76.56,-15.82,3.27,6.56,64.83,102.76,1.09,19.28,1.17,,21.6,2.6
DHC,1117.0,1.21,1.56,238.0,393.0,8.0,9.36,3.97,2.63,,43.16,6.08,48.78,,,1.1,1.24,,34900.0
DHIL,146.0,13.48,,4.0,28.0,89.0,25.75,16.45,,0.54,79.29,49.51,98.82,,37.64,5.84,,,140.949997
DIOD,1214.0,2.04,,51.0,186.0,454.0,11.8,6.9,16.15,7.21,62.92,64.42,52.92,3.61,2.68,2.62,0.2,7.11,36.549999
DISCA,10553.0,0.86,,688.0,2576.0,234.0,6.6,1.56,2.4,1.39,27.2,77.1,27.92,,15.11,1.06,1.81,,28.379998999999998
DISCB,10553.0,0.86,,688.0,2576.0,234.0,6.6,1.56,2.4,1.39,27.2,77.1,27.92,,15.11,1.06,1.81,,34.009997999999996
DISCK,10553.0,0.86,,688.0,2576.0,234.0,6.6,1.56,2.4,1.39,27.2,77.1,27.92,,15.11,1.06,1.81,,26.65
DISH,13621.0,3.0,,526.0,2518.0,-1487.0,20.28,5.22,146.89,9.67,28.1,17.33,11.4,32.81,6.63,0.69,1.61,,34.07
DJCO,41.0,5.94,,1.0,-2.0,200.0,5.08,3.01,-14.2,0.52,61.71,45.56,180.81,137.77,3.56,8.34,0.19,,234.0
DLHC,133.0,0.14,,13.0,14.0,1.0,4.88,2.78,8.13,0.49,63.03,30.04,15.23,,90.12,1.09,,,5.08
DLPN,23.0,-0.23,,16.0,-1.0,-12.0,-36.45,-8.58,-2.81,0.4,28.37,55.63,171.12,,19.67,0.46,0.18,,1.07
DLTH,568.0,0.72,,32.0,31.0,66.0,15.62,8.91,6.31,9.34,53.99,0.03,30.23,2.75,4.1,2.25,0.43,,12.15
DLTR,22823.0,-6.69,,238.0,1766.0,2197.0,-24.81,-10.66,,3.58,41.8,1.53,29.79,4.74,6.87,2.05,0.76,,101.589996
DMAC,1.0,-0.74,,8.0,-6.0,17.0,-64.34,-56.94,,10.0,92.83,235.79,,,7.52,13.87,,904.4,3.31
DMLP,73.0,1.61,1.74,32.0,63.0,30.0,58.56,57.72,,0.08,,31.96,12.88,,1.18,61.97,,,18.219998999999998
DMPI,,-5.42,,2.0,-10.0,5.0,,-151.0,,,76.82,,,,,4.3,,,4.84
DMRC,21.0,-2.86,,11.0,-21.0,45.0,-46.82,-43.3,,9.62,91.63,88.63,65.11,,5.17,11.49,,75.36,33.560001
DMTK,,0.28,,3.0,,-1.0,1.01,0.93,,,47.03,,,,,0.05,,,16.5199995
DNJR,7.0,-0.07,,13.0,-2.0,10.0,-9.57,-8.56,,0.71,96.19,13.56,,,81.71,21.43,,6.99,6.505
DNKN,1322.0,2.71,1.39,85.0,269.0,274.0,,6.22,3.25,3.92,-20.62,17.59,129.75,,6.99,1.51,,,75.099998
DNLI,129.0,-0.39,,93.0,50.0,448.0,-7.16,-6.31,,2.63,82.61,10.41,,,6.44,14.67,,110.86,19.07
DOCU,701.0,-3.16,,135.0,76.0,468.0,-103.55,-38.16,-38.48,4.34,38.03,77.66,41.07,,10.1,1.91,0.71,26.53,56.060001
DOGZ,30.0,0.22,,21.0,4.0,37.0,13.52,10.57,,51.51,87.29,58.4,23.62,5.14,2.03,5.23,,1.93,3.4431
DOMO,109.0,-7.08,,25.0,-149.0,-15.0,,-120.41,,7.0,-464.72,97.17,81.89,,7.07,0.88,,72.11,20.54
DOOO,,,,108.0,,,557.88,10.81,8.1,5.13,-2.45,22.87,57.59,4.74,6.23,1.07,,4.43,40.240002000000004
DORM,974.0,4.02,,33.0,78.0,488.0,19.61,16.16,,2.68,81.98,103.46,57.54,2.48,10.18,4.45,,,80.900002
DOX,3975.0,2.47,0.97,143.0,557.0,426.0,10.02,6.62,153.51,5.82,65.02,61.66,22.58,,9.33,1.33,,6.96,62.09
DOYU,,,,280.0,,,,-67.7,,1.7,-239.4,17.4,76.08,,37.88,0.99,,11.25,
DPHC,,,,,,,,,,,,,,,,,,,9.9
DPHCU,,,,,,,,,,,,,,,,,,,10.05
DRAD,104.0,0.37,1.65,2.0,5.0,8.0,2.75,1.25,-6.19,2.08,50.99,49.98,22.12,15.76,4.17,1.6,0.37,,5.7
DRADP,104.0,,,,5.0,8.0,2.75,1.25,-6.19,2.08,50.99,49.98,22.12,15.76,4.17,1.6,0.37,,8.699
DRIO,7.0,-15.63,,1.0,-11.0,8.0,-284.41,-173.87,,0.96,63.35,11.1,143.5,4.4,9.23,2.57,,49.72,0.705
DRNA,6.0,-1.6,,56.0,18.0,311.0,-58.86,-33.53,-146.35,5.81,49.06,2967.34,,,2.92,4.31,,740.14,13.9
DRRX,19.0,-0.16,,160.0,-20.0,34.0,-122.07,-49.12,-8.84,0.5,40.0,40.63,133.1,1.29,24.2,5.45,1.03,137.37,0.79
DRTT,262.0,0.07,,85.0,12.0,70.0,1.7,1.22,7.89,5.35,70.16,41.98,48.25,7.99,6.15,2.47,0.03,2.32,5.24
DSGX,237.0,0.35,,77.0,72.0,7.0,5.78,4.78,27.79,2.14,79.83,41.65,36.03,439.34,20.43,1.11,0.07,17.61,29.799999
DSKE,1613.0,-0.16,,62.0,105.0,114.0,-3.04,-0.81,0.54,4.12,32.14,38.08,4.36,303.07,3.22,1.58,1.63,,3.68
DSPG,117.0,-0.09,,23.0,9.0,53.0,-1.36,-1.07,-254.0,1.01,78.86,41.79,55.49,6.24,39.59,3.32,,30.75,14.09
DSWL,61.0,0.39,0.07,16.0,6.0,51.0,7.86,6.47,,2.81,80.96,87.45,49.24,4.31,1.91,3.76,,,3.12
DTEA,,,,26.0,,,-24.28,-17.69,-334.33,5.62,68.52,2.3,48.29,4.19,5.11,4.15,,,3.243
DTIL,11.0,-0.94,,49.0,-52.0,101.0,-677.61,-43.58,,144.06,28.83,8.77,,,0.74,8.22,,414.61,13.125
DTSS,,-0.08,,19.0,-1.0,1.0,-183.88,-113.73,,259.71,86.14,3.82,1013.58,0.05,0.18,6.47,,,4.05
DUO,,,,72.0,,,,-9.64,,0.26,-56.39,103.71,109.3,,50.84,1.3,,10.66,
DUOT,12.0,-14.84,,,,,,-42.98,-91.02,2.37,-3.81,27.83,60.14,,89.39,0.9,,4.06,0.54
DVAX,8.0,-2.55,,62.0,-131.0,136.0,-121.01,-73.96,-16.02,185.25,29.91,101.47,82.2,2.25,0.49,4.58,1.6,914.26,5.65
DWSN,154.0,-1.07,,23.0,13.0,50.0,-18.9,-15.45,-60.78,10.21,77.66,69.23,69.2,,1.95,2.82,0.05,,2.4
DXCM,1031.0,-1.44,,88.0,123.0,1477.0,-23.48,-9.01,-4.57,6.5,34.62,63.86,60.65,6.35,6.28,7.64,1.53,40.46,149.240005
DXLG,474.0,-0.28,,49.0,16.0,20.0,-21.04,-5.8,,2.74,25.94,2.87,47.56,2.5,4.65,1.18,0.25,,1.76
DXPE,1216.0,1.94,,18.0,36.0,242.0,12.37,5.31,3.33,0.77,43.93,53.89,34.62,8.57,23.24,2.69,0.77,,34.720001
DXYN,405.0,-1.35,,16.0,5.0,97.0,-30.94,-7.98,-2.44,1.0,23.33,37.76,20.84,2.91,4.55,2.71,2.04,,0.94
DYAI,1.0,-0.21,,28.0,-4.0,42.0,-12.32,-12.1,,,98.04,56.56,124.22,,,50.31,,256.06,5.18
DYNT,64.0,-0.53,,7.0,1.0,7.0,-51.62,-10.27,,0.38,50.83,37.09,23.84,4.79,11.9,1.47,0.34,1.85,2.61
DZSI,282.0,0.17,,17.0,-12.0,75.0,3.68,1.59,3.62,0.42,40.78,86.21,68.22,6.45,49.57,1.81,0.18,12.5,10.69
EA,5150.0,3.34,,312.0,1692.0,3513.0,24.1,12.8,35.5,2.08,53.53,26.36,19.29,,11.61,2.41,0.22,25.63,113.410004
EARS,,,,,,,-407.48,-91.28,-13.89,,-12.13,,,,,1.52,,,15.6
EAST,6.0,-1.49,,6.0,-14.0,21.0,-75.76,-51.14,-10.46,21.17,71.14,41.11,155.63,0.51,4.93,9.9,0.28,,4.89
EBAY,10746.0,2.55,,991.0,2658.0,2672.0,35.28,10.37,9.34,6.06,27.53,23.9,47.2,,6.73,1.6,1.22,11.96,37.139998999999996
EBAYL,10746.0,,,,2658.0,2672.0,35.28,10.37,9.34,6.06,27.53,23.9,47.2,,6.73,1.6,1.22,11.96,26.610001
EBIX,498.0,2.95,0.3,32.0,90.0,110.0,19.21,6.84,5.63,3.24,30.96,107.11,186.77,,10.82,1.35,1.46,7.85,46.029999
EBMT,43.0,0.91,0.36,5.0,14.0,,5.58,0.63,,16.4,11.1,,,,1.68,,1.34,,17.450001
EBSB,173.0,1.06,0.22,53.0,71.0,,8.44,0.97,,4.02,10.92,,,,4.03,,0.8,,17.48
EBTC,121.0,2.46,0.58,12.0,42.0,,11.86,1.0,,4.38,8.61,,,,3.24,,0.06,,31.709999
ECHO,2440.0,1.03,,28.0,94.0,127.0,7.67,3.35,3.45,0.99,44.39,48.41,36.68,,39.03,1.48,0.47,,20.870001000000002
ECOL,566.0,2.25,0.72,22.0,81.0,111.0,14.52,5.67,6.35,7.2,37.9,69.55,15.04,,2.3,2.34,1.01,,60.57
ECOR,1.0,-1.19,,29.0,-47.0,66.0,,-61.56,,28.09,89.96,68.15,1116.07,0.51,3.61,10.28,,,2.0
ECPG,1362.0,4.06,,29.0,187.0,-3.0,16.56,2.54,1.73,4.95,17.67,16.08,167.98,,14.2,0.99,4.27,,33.869999
EDAP,,,,29.0,,,-2.75,-1.46,-5.66,3.03,53.65,104.25,102.69,2.84,11.08,2.45,0.05,10.86,2.6
EDIT,32.0,-2.33,,47.0,-46.0,339.0,-49.5,-27.71,,14.89,56.18,4.05,,,0.8,10.44,0.14,283.85,24.450001
EDNT,15.0,0.35,,4.0,1.0,2.0,297.46,32.53,,0.26,-5.71,35.73,32.77,54.47,14.36,2.07,,,6.27
EDRY,19.0,0.38,,2.0,3.0,-2.0,2.66,0.92,1.47,50.29,33.72,11.74,8.43,39.43,0.26,0.79,0.92,,8.59
EDSA,,-20.64,,,-5.0,6.0,-51.04,-48.7,,132.61,95.84,69.63,,3.37,0.28,21.06,,864.44,33.18
EDUC,112.0,0.64,,8.0,9.0,12.0,29.28,8.15,8.0,1.28,33.11,9.34,177.21,1.02,4.08,1.57,0.97,,9.975
EEFT,2537.0,4.26,,55.0,397.0,709.0,19.16,7.21,8.85,4.43,37.12,103.49,125.53,,9.06,1.51,0.49,,149.889999
EFOI,18.0,-0.76,,12.0,-7.0,10.0,-60.05,-44.83,,0.31,59.77,58.42,65.03,2.13,21.21,2.44,,14.34,0.47
EFSC,230.0,3.83,0.47,23.0,28.0,,15.48,1.63,,,10.7,,,,7.11,,0.31,,41.68
EGAN,61.0,-0.07,,27.0,7.0,-8.0,,-5.02,,0.22,-21.99,43.43,51.21,,75.78,0.74,,24.0,8.14
EGBN,340.0,4.42,,34.0,165.0,,14.79,1.92,,0.44,13.22,,,,17.95,,0.2,,48.709998999999996
EGLE,310.0,0.18,,72.0,45.0,55.0,2.67,1.52,1.49,18.08,56.68,21.79,16.68,15.65,0.45,1.88,0.63,,4.63
EGOV,344.0,0.87,0.32,67.0,70.0,197.0,30.34,19.02,,5.09,68.17,97.81,133.29,,33.55,3.21,,,17.26
EGRX,213.0,2.09,,15.0,52.0,124.0,18.77,12.54,13.44,0.06,67.38,102.93,64.55,9.23,46.29,4.13,0.24,20.82,54.860001000000004
EH,,,,47.0,,,,-61.97,,37.26,-321.15,71.95,182.32,19.68,1.63,3.96,,216.66,
EHTH,251.0,0.01,,20.0,-3.0,96.0,0.13,0.09,,4.31,69.01,107.21,1327.73,,40.58,2.58,0.02,,69.040001
EIDX,,-1.86,,21.0,-33.0,154.0,-57.44,-48.93,,,96.81,,,,,33.19,,,31.209999
EIGI,1145.0,0.03,,146.0,183.0,-301.0,3.52,0.17,0.99,4.01,6.69,4.49,8.24,,12.2,0.44,10.15,,4.8
EIGR,,-3.84,,14.0,-43.0,92.0,-117.58,-72.1,-21.5,,65.0,,,,,10.16,0.38,,10.98
EKSO,11.0,-6.6,,4.0,-22.0,5.0,-223.82,-97.02,-43.99,1.16,15.45,103.39,144.9,2.2,4.91,1.48,0.97,51.6,18.6
ELGX,156.0,-9.07,,9.0,-39.0,40.0,-138.99,-24.22,-1.87,0.38,13.53,61.75,65.98,1.71,8.88,2.03,5.0,13.29,6.42
ELOX,,-1.45,,32.0,-31.0,43.0,-146.83,-124.99,,,84.61,,,,,6.45,,,8.99
ELSE,7.0,,,3.0,,11.0,-0.08,-0.07,-17.0,0.43,95.86,43.78,15.56,2.18,7.06,21.8,,10.85,3.57
ELTK,33.0,-1.58,,2.0,-3.0,-5.0,-74.8,-17.85,-13.12,0.84,15.62,70.58,59.1,8.06,3.84,0.75,0.11,0.13,3.63
EMCF,29.0,1.72,1.12,2.0,7.0,,6.11,0.5,,3.08,8.9,,,,1.56,,,,31.389999
EMKR,86.0,-0.64,,27.0,1.0,89.0,-15.34,-12.47,,7.69,78.59,88.55,67.46,2.92,4.91,4.27,,17.97,3.92
EML,234.0,2.31,0.44,6.0,13.0,71.0,15.78,8.11,15.63,2.31,53.45,44.72,34.52,3.51,7.94,3.36,0.27,2.97,27.48
EMMS,148.0,6.5,,13.0,,27.0,,29.31,5.82,1.22,19.79,57.86,30.16,,5.17,1.83,2.58,,4.219925
ENDP,2947.0,-4.61,,224.0,267.0,393.0,,-9.48,-0.76,2.93,-4.92,61.18,20.29,4.57,5.76,1.2,,6.31,4.95
ENG,54.0,-0.21,,28.0,-3.0,14.0,-31.02,-22.0,,0.2,69.44,53.34,26.81,,63.38,3.01,,,0.9
ENLV,,-14.33,,,-6.0,3.0,-100.24,-83.43,,,87.3,,,,,7.87,,,10.8
ENOB,,-0.29,,22.0,-4.0,15.0,-11.63,-9.94,-63.66,,86.77,,,,,18.04,,,6.15
ENPH,316.0,-0.12,,100.0,16.0,75.0,,-4.57,-0.06,1.31,2.29,83.29,63.83,10.49,13.32,1.51,10.5,10.31,18.23
ENSG,2041.0,1.7,0.18,54.0,210.0,79.0,17.05,8.09,8.6,2.69,50.48,48.4,8.61,,3.53,1.29,0.39,,46.258186
ENT,619.0,-4.07,,88.0,-54.0,-11.0,-261.12,-36.44,,12.11,-2.96,68.94,67.32,17.01,3.43,0.95,,5.75,2.31
ENTA,207.0,3.48,,21.0,29.0,364.0,20.7,19.42,,1.44,95.04,68.73,,,25.16,23.74,,45.91,79.43
ENTG,1550.0,1.69,0.28,143.0,313.0,760.0,24.01,11.21,8.46,7.1,43.67,46.76,35.55,3.56,3.98,3.82,0.92,7.64,40.860001000000004
ENTX,1.0,-1.31,,8.0,-10.0,11.0,,-77.42,,13.6,75.83,529.25,,,2.32,6.97,,,3.27
EOLS,,-1.92,,24.0,-26.0,89.0,,-28.92,-53.23,,49.11,,,,,17.88,0.2,,15.95
EPAY,394.0,0.24,,39.0,76.0,105.0,3.26,1.49,1.1,5.42,48.89,64.16,20.31,,9.36,1.85,0.48,14.54,50.57
EPIX,,-2.55,,5.0,-10.0,12.0,-499.79,-107.56,-11.72,,57.14,,,,,4.66,0.38,,3.001
EPSN,30.0,0.24,,27.0,10.0,14.0,8.67,6.52,53.51,7.41,79.57,51.69,96.74,,0.35,3.14,,,3.88
EPZM,21.0,-1.72,,72.0,-121.0,235.0,-52.79,-43.77,,1.38,84.58,171.98,,,9.47,7.2,,487.71,12.55
EQ,,-1.09,,12.0,-8.0,65.0,-42.28,-35.66,-4.18,,96.68,,,,,33.09,,,5.66
EQBK,145.0,2.28,,16.0,37.0,,8.63,0.99,,6.11,11.23,,,,2.01,,0.91,,27.76
EQIX,5072.0,4.56,9.12,80.0,1815.0,1.0,5.19,1.88,1.83,41.33,35.66,43.41,13.92,,0.5,1.0,1.51,,502.10000599999995
ERI,2056.0,1.22,,78.0,323.0,171.0,9.65,2.01,1.79,7.17,17.41,9.41,16.13,56.35,0.93,1.43,3.17,,46.619999
ERIC,,,,3291.0,,,-7.0,-2.47,-0.47,2.32,32.46,99.01,71.91,5.26,16.4,1.45,0.35,18.45,8.91
ERIE,2409.0,5.51,3.42,58.0,,,31.48,16.74,,2.34,54.75,,,,22.51,,0.1,,184.270004
ERII,75.0,0.4,,55.0,8.0,93.0,22.55,12.94,,7.03,63.04,55.54,56.47,2.83,3.71,4.41,0.11,22.83,9.31
ERYP,,,,18.0,,,-23.38,-21.05,,,86.75,,134.86,42.58,,7.26,0.01,,7.001
ESBK,22.0,1.21,0.88,3.0,7.0,,8.62,0.71,,22.44,10.21,,,,1.5,,0.7,,20.43
ESCA,176.0,1.41,0.5,14.0,7.0,71.0,17.04,13.38,62.93,1.6,85.82,83.09,13.85,3.52,11.8,5.26,,,11.35
