Company,Revenue EUR Mil,Earnings Per Share EUR,Dividends EUR,Shares Mil,Operating Cash Flow EUR Mil,Working Capital EUR Mil,Return on Equity perc,Return on Assets perc,Interest Coverage,Cap Ex as a perc of Sales,Total Stockholders' Equity,Days Sales Outstanding,Payables Period,Inventory Turnover,Fixed Assets Turnover,Current Ratio,Debt/Equity,R&D,Price
CLA,45.0,0.06,0.03,,3.0,-1.0,3.12,0.74,1.8,11.58,22.2,81.88,164.61,2.54,16.96,0.96,0.86,,2.97
CLE,65.0,-0.18,0,86.0,,11.0,-86.45,-8.85,-7.56,3.19,6.54,323.19,265.63,35.79,20.81,1.15,6.7,,0.283
CBB,,-0.02,0,7.0,,,-79.69,-23.94,-258.37,,30.04,107.45,211.68,,315.92,1.11,,,
CNHI,,,0,1361.0,,,22.64,2.26,2.81,6.4,10.95,5.5,94.99,3.53,3.6,4.47,4.85,3.57,9.34
CRES,42.0,1.28,0.28,36.0,22.0,91.0,11.54,6.57,9.73,0.13,57.77,21.29,761.64,0.33,124.92,8.62,0.7,,8.02
COM,342.0,0.56,0,20.0,,91.0,12.8,4.36,,,38.05,73.59,133.69,2.56,6.63,1.74,0.36,,
CBK,1450.0,0.69,0,1252.0,-1698.0,,3.03,0.19,,40.62,6.12,,,,0.92,,1.64,,6.192
SGO,40810.0,2.81,1.26,557.0,2765.0,4055.0,8.41,3.61,4.3,4.22,43.42,45.02,70.98,5.11,3.51,1.34,0.4,,38.5
CNF,9.0,0.05,0,42.0,10.0,22.0,7.34,3.79,,1.24,58.65,1267.74,121.52,,56.6,2.28,,,0.25
CFV,11.0,0.01,0,7.0,1.0,3.0,2.28,1.41,2.47,18.99,61.71,2.5,1.81,3.88,139.91,5.94,0.45,,
CON,44404.0,14.49,4.5,200.0,4977.0,1072.0,17.21,7.44,14.94,7.4,44.67,63.88,77.23,7.7,3.77,1.07,0.08,9.64,120.400002
COP,7.0,0.09,0,2.0,,1.0,8.53,3.19,61.4,0.65,39.7,,6.17,,3.66,1.64,0.2,,
CBI,2.0,-0.13,0,18.0,-4.0,10.0,-16.08,-10.33,-112.62,34.3,78.15,164.46,113.49,,15.54,4.36,,,0.59
MOLD,16.0,0.19,0,4.0,2.0,4.0,-6.12,-0.87,0.48,5.14,13.02,184.54,175.84,2.53,3.75,1.37,2.48,,3.3
COV,28.0,0.72,0.5,4.0,,22.0,13.94,10.58,42.55,1.48,76.32,41.34,109.12,2.35,62.89,4.57,,,9.8
CVO,956.0,9.22,4.5,81.0,884.0,-244.0,10.77,3.25,8.11,103.71,36.73,113.12,964.43,1.04,1.32,0.91,1.24,0.06,94.7250025
CE,1617.0,0.56,0.15,331.0,127.0,,7.28,0.46,,3.58,6.38,,,,5.26,,1.37,,6.34
ACA,54707.0,1.39,0.63,2854.0,24930.0,,6.77,0.25,,1.26,3.64,,,,13.22,,3.52,,10.895
CVAL,593.0,-0.43,0,771.0,695.0,,-20.77,-1.32,,3.82,5.78,,,,1.67,,2.33,,0.1062
CFM,,-0.04,0,1.0,,,-14.14,-11.44,-63.42,10.25,80.87,52.56,193.81,,80.14,4.64,,,
CSP,127.0,0.03,0.04,34.0,,50.0,1.41,0.73,4.85,1.91,51.71,80.87,120.65,2.24,7.38,2.2,0.16,,0.962
CULT,6.0,0.13,0,3.0,,5.0,6.44,5.03,99.16,5.37,85.0,55.28,106.77,2.73,25.41,5.13,,,4.4
CYB,,,0,,,,,,,,,,,,,,,,
DIS,,,0,646.0,,,-15.06,-5.37,-0.59,25.43,32.45,40.57,38.25,28.11,0.47,0.71,1.58,,0.0939
DAI,167362.0,6.78,3.65,1069.0,343.0,23661.0,11.27,2.7,14.36,6.39,23.08,119.28,36.23,4.92,2.14,1.24,1.37,3.93,49.57
DAN,2525.0,0.77,0.1,74.0,19.0,1163.0,3.18,1.23,14.32,2.95,39.53,142.6,338.12,1.76,2.85,1.48,0.18,,17.860001
DANR,2525.0,0.77,0.12,74.0,19.0,1163.0,3.18,1.23,14.32,2.95,39.53,142.6,338.12,1.76,2.85,1.48,0.18,,13.02
DNN,24651.0,3.63,1.9,643.0,3111.0,369.0,15.23,5.31,7.09,3.82,37.11,40.59,108.66,7.36,4.05,1.03,0.87,1.36,74.32
DAL,606.0,1.03,0.3,58.0,73.0,227.0,17.81,7.61,26.46,2.58,40.42,47.78,121.82,3.78,8.55,1.99,0.61,9.17,29.799999
DBA,43.0,0.06,0,13.0,-2.0,18.0,4.54,1.93,12.18,14.22,48.37,149.04,239.03,14.45,15.1,1.97,0.21,,3.7
DLG,1973.0,1.18,0.8,151.0,204.0,792.0,17.54,9.18,41.69,5.03,48.94,71.63,157.63,2.6,9.24,2.16,0.27,,24.280001000000002
DEA,73.0,-0.04,0.12,258.0,,143.0,-2.29,-1.75,-496.56,0.88,91.22,68.45,66.31,,40.35,5.12,,,1.292
DBK,25093.0,-0.01,0.11,2102.0,-54066.0,,-0.04,,,1.85,4.99,,,,9.87,,2.26,,6.91
DB1,3098.0,4.46,2.45,185.0,1298.0,2150.0,17.05,0.56,15.55,5.16,2.99,794.4,42.85,,25.37,1.01,,,124.900002
LHA,35844.0,4.58,0.56,473.0,4109.0,-5561.0,22.82,5.81,14.13,11.43,24.84,40.72,44.12,34.1,1.75,0.66,0.53,,17.030001000000002
DPW,60444.0,2.15,1.05,1261.0,3297.0,357.0,22.87,7.05,12.81,3.64,32.9,48.81,52.79,169.04,7.04,1.02,0.4,,31.57
DTE,75351.0,0.46,0.65,4742.0,17948.0,-7275.0,7.03,1.51,3.27,16.58,23.27,47.33,110.46,18.94,1.55,0.75,1.65,,14.886
DIA,637.0,2.54,0.8,55.0,167.0,341.0,19.92,15.42,42.6,6.66,78.44,71.31,97.65,1.51,6.91,3.42,,6.84,78.349998
DIB,73.0,0.65,0.15,14.0,-1.0,38.0,14.63,9.12,-12.42,4.61,67.3,165.26,185.13,3.43,11.6,2.45,0.07,,6.59
DM,2.0,-0.93,0,7.0,-2.0,7.0,-40.38,-29.94,-42.69,24.89,77.72,200.78,183.87,9.92,51.43,3.7,0.14,,7.1
DGV,259.0,1.73,0,6.0,,24.0,23.02,5.35,15.76,,23.24,107.46,156.32,32.37,49.1,1.17,0.13,,11.1
DIG,14.0,,0,,,5.0,0.88,0.35,1.31,12.77,47.23,66.52,113.54,,161.61,1.97,0.36,,1.215
DGT,28.0,0.03,0,15.0,3.0,6.0,3.03,1.14,,7.18,39.13,143.02,163.0,,88.17,1.41,0.41,,1.42
DHH,6.0,0.08,0,3.0,1.0,1.0,3.41,2.52,20.17,16.27,73.37,28.34,38.88,,20.08,1.43,,,6.45
DOV,199.0,0.57,0,78.0,58.0,,21.56,14.38,,2.84,69.48,140.68,,,162.27,,,,10.45
DOX,11.0,0.08,0,9.0,,-2.0,,5.55,4.34,18.32,0.08,178.9,275.41,,20.5,0.77,367.45,16.61,
EOAN,29565.0,1.49,0.3,2167.0,2853.0,8180.0,66.01,5.85,3.66,7.71,11.17,47.99,28.18,30.32,1.41,1.54,1.45,,9.52
ECK,9.0,-2.17,0,1.0,1.0,-16.0,93.44,7.52,2.15,1.56,7.77,240.11,381.12,28.45,0.29,0.51,0.99,,6.0
